ID	Maxim	Whom
294	"Show me some one who is sick, in danger, disgraced, dying, but yet happy. Show him, for I long to see a Stoic!"	Unknown
295	"Freedom is not gained by satisfying, but by restraining, our desires."	Unknown
296	"Of what use is your reading, if it does not give you peace ?"	Unknown
297	"It is not poverty, but covetousness, that causes sorrow. It is not wealth, but philosophy, that gives security."	Unknown
298	"He is wise who rejoices in what he has, and does not grieve for what he has not."	Unknown
299	"Fortify thyself in contentment, for this is a fortress which cannot be taken easily."	Unknown
300	"How easy to drive away every thought that is troublesome, or unfriendly, and be at peace at once."	Unknown
301	Nothing comes upon any man which he is not formed to bear.	Unknown
302	The mind turns every obstacle into an aid.	Unknown
303	"Nothing that happens injures me, unless I take it as an evil; and it is in my power not to take it so."	Unknown
304	Always remember that very little is needed for living a happy life.	Unknown
305	"Whatever happens is an opportunity for acting reasonably and kindly; in short, becomingly, toward either God or man."	Unknown
306	"Is it not better to use what thou hast, like a free man, than to long, like a slave, for what is not in thy power ?"	Unknown
307	Calamity is opportunity for courage.	Unknown
308	"Throw away all anxiety about life, and so make it pleasant."	Unknown
309	A brave and wise man should not flee from life.	Unknown
310	"Courage is careful to preserve itself, and ready to endure what is evil in appearance only."	Unknown
311	Nothing is baser than to wish for death.	Unknown
312	"Receive what is in your own power with caution; and what is not, with courage."	Unknown
313	"Be like a headland, standing firm against the waves that beat against it continually, and calming the raging sea."	Unknown
314	"If there were reason for beginning to be angry, there would be none for ever ceasing to be."	Unknown
315	"In order not to be angry with anybody, you should pardon everybody. Your forgiveness is due to your race."	Unknown
316	"The soul which is incapable of anger may be not feeble, but possessed of stronger impulses."	Unknown
317	"The philosopher will not be the enemy, but the teacher, of sinners."	Unknown
318	Fight against the beginnings of evil; but anger begins with thinking that we are injured.	Unknown
319	The best cure for anger is delay.	Unknown
320	"Let us inflict punishment without anger, and because it is useful, not because revenge is sweet."	Unknown
321	"If he be your friend, he has done what was not intended; if he be your enemy, what might have been foreseen."	Unknown
322	"What must the soul of the angry man be, when his face is so hideous?"	Unknown
323	"Let me be good-natured with my friends, and mild and easy with my enemies."	Unknown
324	"There is no virtue more honorable to man than this, or more truly honored."	Unknown
325	"The wise man will pardon much, and save many souls because they are capable of being healed."	Unknown
326	He will blame fortune alone for others' sins.	Unknown
327	It is madness to think that we fix an end to passions which we cannot control at their beginning.	Unknown
328	Better leave crime unpunished than condemn the innocent.	Unknown
329	"Thrasea used to say, 'He who hates vice hates mankind.'"	Unknown
330	"He is best and purest who pardons others as if he sinned himself daily, but avoids sinning as if he never pardoned."	Unknown
331	"Do not make an idol of your clothes, and you will not be angry at the thief."	Unknown
332	"The Cynic loves those who beat him, and is a father and brother toward all men."	Unknown
333	"He who is good and wise never quarrels with anybody, but tries to keep others out of strife."	Unknown
334	Men exist for one another; therefore teach them or bear with them.	Unknown
335	"Do not think like him who wrongs thee, or as he would have thee, but see what is required by the truth."	Unknown
336	Beware of feeling toward the cruel as they do toward others.	Unknown
337	"That pleasure which is worthy of a man consists in not overloading the body, nor exciting those passions whose rest is our safety."	Unknown
338	"Hunger needs little, but pride needs much."	Unknown
339	It is besi to keep the feasts of the people without their excesses.	Unknown
340	"True pleasure can never cease, nor be turned into pain."	Unknown
341	"What philosophers labor to teach in many volumes I can give you in a few words: Persevere, when healthy, in what you resolve upon when sick."	Unknown
342	"We must conquer our passions, not by strategy, but by main force; not by slight wounds, but by a deadly charge."	Unknown
343	"What a wretched slavery he undergoes who is domineered over alternately by pleasure and pain, the most capricious and outrageous of tyrants."	Unknown
344	"Despising death, welcoming poverty, and restraining lust, these three give great delight."	Unknown
345	"Pure, not only from forbidden pleasures, but from useless ones."	Unknown
346	Often it is easier to renounce utterly than to enjoy moderately.	Unknown
347	"Chastity, whose loss is every virtue's ruin."	Unknown
348	"Before thy marriage, keep thyself pure with all thy might."	Unknown
349	The height of purity or impurity is in the soul.	Unknown
350	"My mother taught me to keep myself not only from doing wrong, but even from imagining it."	Unknown
351	"The mind that is free from passion is a castle, and man has none more strong."	Unknown
352	"Those gifts of fortune which produce neither courage nor nobleness of soul, but insolence and baseness, should not be thought good, but bad."	Unknown
353	Neither self-respect nor prudence is own by him who readily thinks himself despised.	Unknown
354	"Satisfy conscience and do not work for reputation, but let this make itself, though it be worse than we deserve."	Unknown
355	"Trust in yourself, and believe that you are walking in the right way."	Unknown
356	Nothing costs more than what is begged.	Unknown
357	"When you have advanced far enough to reverence yourself, you may dismiss all mentors."	Unknown
358	"If thy deeds be noble, let all men know them; if they be base, what matters it that no one else knows them, since they are known to thee?"	Unknown
359	What disgraces philosophy more than seeking applause ?	Unknown
360	No one loves Virtue better than he who is willing to lose the credit rather than the consciousness of possessing her.	Unknown
361	I had rather show you my feelings than speak them.	Unknown
362	Experience has taught me not to ask advice when I have made up my mind what to do.	Unknown
363	He who would be independent must seek for nothing and flee from nothing which depends on others.	Unknown
364	He who believes that we are all born of God can never think of himself meanly or basely.	Unknown
365	"We are created to be independent, modest, and noble of soul."	Unknown
366	"Do you wish to be useful, or to be praised ?"	Unknown
367	"The good and noble man does nothing for the sake of appearances, but everything for the sake of acting well."	Unknown
368	No one is owner of another's will.	Unknown
369	Do not so much fear being disgraced by public opinion as by the truth.	Unknown
370	"A man should stand upright, and not be kept upright by others."	Unknown
371	The pride of not being proud is the most hard to bear.	Unknown
372	"Nobody would give away his property to all comers, as everybody gives away his life."	Unknown
373	He has the longest of lives who suffers no time to be lost.	Unknown
374	He who lays out each day as if it were a life will neither fear nor long for the morrow.	Unknown
375	Only to the busy belongs the present.	Unknown
376	"It is our inconstancy, in beginning one thing after another, that makes life short."	Unknown
377	We all have leisure for what we wish to do.'	Unknown
378	"If unwilling to rise in the morning, say to thyself, 'I awake to do the work of a man.'"	Unknown
379	"I was taught to endure labor, to want little, and to do things myself."	Unknown
380	Follow this sound and safe rule of life— to indulge the body just so much as its health requires.	Unknown
381	"I acknowledge that it should be cared for and favored, but I deny that it should be served, for he who serves it serves many masters."	Unknown
382	"We need amusements, but there should be some work in them, that even from them we may get good."	Unknown
383	"A stomach which can wait patiently, and endure rough treatment, is an important condition of liberty."	Unknown
384	It is wonderful how much the mind is excited by moving the body.	Unknown
385	"They are mad, who. make no account of riches, health, freedom from pain, and integrity of the body, nor take any care to attain them."	Unknown
386	"I deny that riches are good in themselves, but I confess that they are worth having and useful, and may be of great help in life."	Unknown
387	"Money is the fool's master, but the wise man's servant."	Unknown
388	One day does more for the educated man than the longest life for the untaught.	Unknown
389	"From early youth we can give ourselves to looking at the truth, finding a rule of life, and obeying it quietly."	Unknown
390	He who studies the universe serves God.	Unknown
391	"Nature, conscious of her own wisdom and beauty, has created us as observers of lofty spectacles."	Unknown
392	"Such are the researches for which we are born, that we should find all the time allotted us short."	Unknown
393	"Many would reach wisdom, did they not suppose they had already arrived there."	Unknown
394	"The mind can reach nothing grand and difficult, unless it passes out of the beaten track into regions where it has feared to go."	Unknown
395	"Those alone have leisure who devote themselves to wisdom; they alone live, for they enjoy not only their own years, but all the ages."	Unknown
396	It is our minds that make us rich.	Unknown
397	"As the tools we handle daily are kept free from rust and dirt, so what we think of often never slips from the memory."	Unknown
398	"How much better worth our while to know what we should do, than what has been already done !"	Unknown
399	What will be the reward of our studies? The noblest that could be wished: the knowledge of nature.	Unknown
400	Strength of mind can come in no other way than by studying diligently and observing nature [A contemplatione naturae ].	Unknown
401	Do not fear that you have wasted your study if you have taught yourself.	Unknown
402	"The soul is in chains, until philosophy cheers her with the knowledge of nature, and lets her mount from what is earthy to the divine."	Unknown
403	"No one drives away vice, until in its place he accepts wisdom."	Unknown
404	Ease without letters is a living death and burial.	Unknown
405	"I must keep reading, in order to keep dissatisfied with myself."	Unknown
406	"Read much, but not many books."	Unknown
407	Only the educated are free.	Unknown
408	"Virtue unbinds the chain of the soul, by teaching, experience and exercise."	Unknown
409	Let nothing be more precious to thee than truth.	Unknown
410	Never be contented with a superficial apprehension of anything.	Unknown
411	"As thou thinkest most often, so will be thy character; for by the thoughts the soul is dyed."	Unknown
412	A man's worth is that of those things about which he is busy.	Unknown
413	"Remember that to change thy mind, and follow him who sets thee right, does not lessen thy independence."	Unknown
414	"Before we form a friendship we should criticise, but after forming it we should only trust."	Unknown
415	It is vicious either to trust nobody or to trust everybody.	Unknown
416	"Love sometimes harms, but friendship always helps."	Unknown
417	"I seek the society, not of those among whom chance or birth throws me, but of those in every age and land who are most virtuous."	Unknown
418	Advise a friend in private; praise him openly.	Unknown
419	Prosperity gives friends; adversity proves them.	Unknown
420	He who associates calmly with the wicked is one of them himself.	Unknown
421	No one will ever persuade me that I love my friends too much.	Unknown
422	"Try to gather around your house, not herds of oxen, but troops of friends."	Unknown
423	Flee from the friendship of the wicked and the hatred of the good.	Unknown
424	"When thou wouldst be joyful, call to mind the good qualities of those who live with thee."	Unknown
425	He who is separate from any neighbor has fallen away from the whole community.	Unknown
426	He who repents of his sins is already almost innocent.	Unknown
427	The safest road to virtue is repentance.	Unknown
428	Goodness consists mainly in wishing to become good.	Unknown
429	"We must learn virtue by unlearning vice. And virtue, when'once gained, remains with us. and cannot be unlearned."	Unknown
430	"The noblest virtue is not fostered by incense and garlands, but by sweat and blood."	Unknown
431	"As weapons to chained hands, so are precepts to sinful souls."	Unknown
432	"Feeling is king when it seeks the right, but when it is unruly it takes a hateful name, and becomes tyrant."	Unknown
433	"Our nature has strength enough, if we are only willing to gather and use it all; we cannot plead lack of power, but only of intention."	Unknown
434	What a paltry innocence to be as good as the law requires!	Unknown
435	"The Stoic loves only virtue, and would not leave her to gain immortality."	Unknown
436	She receives no sordid lover.	Unknown
437	For her all things are to be endured.	Unknown
438	"She is self-satisfied and permanent, while vice is ever changing."	Unknown
439	Only that by which the character is made better is good.	Unknown
440	Who is nobly born? He who is by nature virtuous. It is the character that makes the noble.	Unknown
441	"Virtue is the same, whether she is reached through joys or griefs."	Unknown
442	"As the sun dims all lesser lights, so docs she cause grief, trouble and injury to fade away."	Unknown
443	She is sufficient by herself to complete the happiness of life.	Unknown
444	"What can he desire, who has every virtue?"	Unknown
445	"It is better sometimes to own that we sin, but usually to behave well, than seldom to confess our faults, but often commit them."	Unknown
446	Better die than live ill.	Unknown
447	"Good fortune is good intentions, good impulses, and good deeds."	Unknown
448	"If anything is possible for man, and peculiar to him, think that this can be attained by thee."	Unknown
449	"Look within: there is the fountain of good which will always gush forth, if thou wilt always dig."	Unknown
450	"Use the present thoughtfully and justly, for life is short."	Unknown
451	"As we bear with children, so the philosopher will bear with everybody."	Unknown
452	What a monster is he who rages at his fellow-men !	Unknown
453	"Let us honor humanity, and cause no danger or fear to any one."	Unknown
454	"As glory follows those who flee from her, so is gratitude given most richly to those who tolerate ingratitude."	Unknown
455	"Take care not to be either like the bad because there are many of them, or hostile to the many because they are not like yourself.'"	Unknown
456	"Euphrates attacked vices, not men, and did not scourge, but persuaded, the erring."	Unknown
457	"Will you not bear with your brother, who has God for his ancestor and is of your own heavenly race?"	Unknown
458	"However my brother treats me, I must do my duty by him; that is all that need concern me."	Unknown
459	It is better to advise than to reproach.	Unknown
460	"If thou be able, teach others what is right; if thou be not, remember that meekness was given thee for this."	Unknown
461	"The wise man will be glad to marry and have children, for he had rather not live at all than live alone."	Unknown
462	What is more pleasant than to be so dear to your wife as to be on this account dearer to yourself?	Unknown
463	"As soon as a child is born to us, it is no longer in our power not to love it and care for it."	Unknown
464	"Love practically the men with whom thy lot is cast.'"""	Unknown
465	To love our neighbor is a property which shows a soul endowed with reason.	Unknown
466	"Should a gift not prove a benefit, it would yet be ungrateful not to return it, as if it were."	Unknown
467	A kindness should be returned in the same spirit in which it is bestowed.	Unknown
468	"He who gives ought to forget it immediately, but he who receives never."	Unknown
469	We should be neither squeamish nor abject in taking favors.	Unknown
470	He is most ungrateful who forgets what has been given him.	Unknown
471	"It may happen that he who returns a favor is ungrateful, and he is grateful who does not."	Unknown
472	"The ingrate is pleased for the time, the grateful man for ever."	Unknown
473	No other vice is so hostile to the harmony of the human race as ingratitude.	Unknown
474	"No one who knows his obligations, and heartily wishes to discharge them, need think himself outdone in kindness."	Unknown
475	"I should be unjust, as well as ungrateful, if I were not glad to have him who benefits me benefit himself, also."	Unknown
476	"Do not wish that your benefactor may need to be repaid by you, but only that you may be able to repay him, if he needs it."	Unknown
477	"To have kingdoms is fortune; to give them, virtue."	Unknown
478	"Why not take care of your short life, and make it pleasant for others, and also for yourself?"	Unknown
479	"If you would have other people feel grateful to you, you must not only help them, but love them."	Unknown
480	It is base to be outdone in kindness.	Unknown
481	Avarice denies to herself what she takes from others.	Unknown
482	"No one is grateful for what he has extorted. We find many ingrates, and we make more."	Unknown
483	"Kindness is always good. It is the intention which endears what is cheap, ennobles what is base, and degrades what is costly."	Unknown
484	"Let us give as we would receive, cheerfully, quickly, and unhesitatingly; in a gift that sticks to the fingers there is no grace."	Unknown
485	It is better to get the start of a request than to follow it.	Unknown
486	He who gives when he is asked has waited too long.	Unknown
487	"He who gives gladly gives quickly; he who delays, loses not only his time, but his chance of proving his friendship."	Unknown
488	"It is best that those who are helped should not know their benefactor, for the secrecy increases the gift."	Unknown
489	Covetousness permits no gratitude.	Unknown
490	Give the kindness for its own sake; thinking only of the receiver's interests.	Unknown
491	"Prodigality is never noble, and especially not in charity."	Unknown
492	"Let no one suppose that I would check charity; let it go where it will, but not wander to and fro."	Unknown
493	"The wise man considers to whom he gives, rather than what he gives."	Unknown
494	"He helps his friends, not through his own strength, but through theirs."	Unknown
495	Often the friends give exactly what the enemies wish.	Unknown
496	Delight in acts of kindness is our nearest approach to the divine.	Unknown
497	"Thrasea used to say that we should take the side not only of our friends, but of the friendless."	Unknown
498	Animals who lack reason should be treated nobly and magnanimously.	Unknown
499	"The true philosopher, unless prevented, will serve the state."	Unknown
500	"I fight, not for my own liberty, but for my country's; not to live free, but to live / among freemen."	Unknown
501	"Let private interests yield to public, the mortal to the eternal."	Unknown
502	"What would I have death find me doing? Something benevolent, public - spirited, and noble."	Unknown
503	"Fear nothing, but that thy mind should turn to something unworthy of a thinker and a citizen."	Unknown
504	That which is not good for the swarm is not good for the bee.	Unknown
505	"A reasoning being goes on his way well, when he directs his impulses only to actions of public benefit."	Unknown
506	Every act of thine which is without any immediate or ultimate reference to the welfare of the community tears thy life asunder.	Unknown
507	Let thy efforts and exertions be turned toward acting for the public good.	Unknown
508	Thou art a man set at thy post for the benefit of the state.	Unknown
509	"Do nothing without a purpose, and let that always be some public end."	Unknown
510	Love is the god who gives safety to the city.	Unknown
511	"I will show you how to make a lovepotion without either drugs or spells: If you would be loved, love."	Unknown
512	"We are created for the sake of mankind, to be useful to each other."	Unknown
513	Nature endears man to man.	Unknown
514	All men are plainly bound together.	Unknown
515	"Obey that law of nature which makes your interest the universal, and the universal one your own."	Unknown
516	Care for other men and serve the common brotherhood.	Unknown
517	Men are made for helping each other.	Unknown
518	I shall take the world as my country.	Unknown
519	"Nature commands me to do good to all men, whether they be bond or free."	Unknown
520	"Think of that great republic whose boundary is the course of the sun, and whose citizens are all the men and gods."	Unknown
521	"Let us have such noble souls as not to shut ourselves up within a single city, but take an interest in all the countries of the earth."	Unknown
522	"We, Stoics, when shut out from politics, have devoted ourselves to elevating our own lives, and giving laws to our race."	Unknown
523	"Guard religiously that social tie which binds man to man, and establishes the rights common to the human race."	Unknown
524	"The weak grow strong in union, but the mighty perish by discord."	Unknown
525	"Human life consists in kindness and harmony, and is bound together for mutual help, not by terror, but by love."	Unknown
526	"There is a natural fellowship among men, and it ought in every way to be preserved."	Unknown
527	"Meditate upon your actions. Ask yourself, 'What have I done that is contrary to the interests of my friends and of my race?'"	Unknown
528	Man's nature is to do good and assist others and comply with their wishes.	Unknown
529	"No one who is a lover of money, pleasure, or fame, is also a lover of mankind, but only he who is a lover of virtue."	Unknown
530	"We are made for co-operation, like the hands and feet."	Unknown
531	Does any one hate me? I will be kind and friendly to every one.	Unknown
532	"Do not labor unwillingly, or without regard to the common good."	Unknown
533	God gives man power never to let himself be separated from the great whole.	Unknown
534	Do nothing but what is useful to men.	Unknown
535	It is like a deserter to flee away from social laws.	Unknown
536	The chief end of a rational creature is the social life.	Unknown
537	"Put all thy joy and satisfaction in passing from one philanthropic action to another, thinking of God."	Unknown
538	"Treat men fraternally, because they are endowed with reason."	Unknown
539	Peculiarly manly is benevolence to our fellow-men.	Unknown
540	To be honest simply for the sake of being so is too little; we should delight in sacrificing ourselves for this most lovely of virtues.	Unknown
541	"If you would judge justly, esteem neither parties nor pleaders, but the case itself."	Unknown
542	"As the touchstone tries gold, but is not itself tried by it, so is he who has the power of judging justly."	Unknown
543	Not .even the choicest friendship is free from passions which may overshadow and disturb thy sense of justice.	Unknown
544	Not yet dost thou see that prudence is all contained in justice.	Unknown
545	"The holiest possession of the human soul is that fidelity which is corrupted by no reward, and forced to deceive by no necessity."	Unknown
546	The faith which expects rewards is to be conquered by them.	Unknown
547	Act well to present friends; speak well of absent ones.	Unknown
548	"My word is as my country to me, and even dearer, if anything can be."	Unknown
549	"Whether the slave have become so by conquest or by purchase, the master's title is bad."	Unknown
550	"One universe is our common parent. Do not despise any one because he is surrounded by vulgar names, or unfavored by fortune."	Unknown
551	"Philosophy neither accepts nor rejects any one, but shines for all."	Unknown
552	Live with thy inferiors as thou wouldst have thy superiors live with thee.	Unknown
553	"Have thy slaves honor, rather than fear, thee. Punish them only with words."	Unknown
554	Virtue may be born in any place.	Unknown
555	"Justice considers only the good of others, and desires' nothing but to be of use."	Unknown
556	"Let us not charge any one with baseness of birth. Let us have free laborers, and think their labors useful and noble."	Unknown
557	"In using the power of a father, remember not only that your son is a boy, as you have been, but that you are a man, and the father of one."	Unknown
558	"What you would not suffer yourself take care not to impose on others; and as you would escape slavery, do not treat others like slaves."	Unknown
559	From Diognetus I learned to endure freedom of speech.	Unknown
560	To pardon everybody is as cruel as to pardon nobody.	Unknown
561	It is absurd to lose our own innocence rather than to do harm to other people.	Unknown
562	"Peace with all mankind, but war with vice."	Unknown
563	He who spares the bad wrongs the good.	Unknown
564	He who will not forbid sin commands it.	Unknown
565	"The possessor of all things else may need a friend to tell him the truth, and free him from the conspiracy of falsehood."	Unknown
566	"It is base to say, and baser still to write, what we do not feel."	Unknown
567	Truth hates delay.	Unknown
568	"Truth conquers by itself, opinion by appealing to externals."	Unknown
569	Flatterers destroy the souls of men by blinding their eyes.'	Unknown
570	"The safety of life demands that I do what is just with my whole soul, and say what is true."	Unknown
571	"To act a part, or say or do anything insincere or untrue, pollutes the soul."	Unknown
572	"It is hard to find virtue, and there is need of governors and guides."	Unknown
573	No one can do his duties properly unless he has learnt that general principle by which he can find them out in all particulars.	Unknown
574	No one has strength enough of his own to rise out of folly; one must give another the hand.	Unknown
575	"The soul should be taught to follow some model, like boys who learn to write."	Unknown
576	The character does not become perfect without that abiding knowledge of good and evil which only philosophy can give.	Unknown
577	"Virtue does not come until the character is formed, and taught, and developed by continual exercise."	Unknown
578	It is through the parts that we must reach the whole.	Unknown
579	No one is good by accident; virtue must be learned.	Unknown
580	"What, then, is the cause of my sinning? Ignorance."	Unknown
581	What makes a man free and master of himself? The science of living.	Unknown
582	Burn the midnight oil to gain principles which will set you free.	Unknown
583	True philosophers have not neglected the advantage and interests of mankind.	Unknown
584	"Nothing does more to deprave human nature than the belief that anything is virtuous which is not useful, or useful which is not virtuous."	Unknown
585	Nothing is so much in accordance with nature as utility.	Unknown
586	"He is a good man who benefits as many people as possible, and harms nobody."	Unknown
587	The standard of utility is the same as that of morality.	Unknown
588	In all our reasonings we should keep in view the general good.	Unknown
589	Public and private utility are inseparable.	Unknown
590	In being useful the soul moves according to nature.	Unknown
591	"Whatever is good is always profitable; if it does not profit, it is not good; if it does, it is so already."	Unknown
592	To live happily is the same thing as to live according to nature.	Unknown
593	"No action of a depraved character, and destitute of utility, can prove unaccompanied by punishment."	Unknown
594	Consider the antecedents and the consequences of every action before you undertake it.	Unknown
595	God made all men to be happy and to be calm.	Unknown
596	To be happy is a good object and one in your own power.	Unknown
597	Choose the better part; but that which is useful is the better part.	Unknown
598	Do nothing which is not according to the principle that completes the art of life.	Unknown
599	"Let there be effort and exertion resulting in acting for the common good, for this, too, is according to thy nature."	Unknown
600	Do nothing inconsiderately or without a purpose.	Unknown
601	And everything which is useful to the universe is always good and in season.	Unknown
602	"Now, Chrysippus neither professes himself, nor any one of his disciples and teachers, to be virtuous."	Unknown
603	"We all have sinned; nor do we even give it up, but we go on offending until the end of life."	Unknown
604	The elements may be destroyed by the operation of fire.	Unknown
605	"God himself they call a being who, after certain periods of time, absorbs all substance in himself, and then reproduces it from himself."	Unknown
606	The learned and vigorous endure until the general fire.	Unknown
